deutsch;francais
le premier mois;Janvier
le deuxième mois;Février
le troisième mois;Mars
le quatrième mois;Avril
le cinquième mois;Mai
le sixième mois;Juin
le septième mois;Juillet
le huitième mois;Août
le neuvième mois;Septembre
le dixième mois;Octobre
le onzième mois;Novembre
le douzième mois;Décembre
